Scenario,GCM,global_mean_deviation_degC,1_dev_degC,2_dev_degC,3_dev_degC,4_dev_degC,5_dev_degC,6_dev_degC,7_dev_degC,8_dev_degC,9_dev_degC,10_dev_degC,11_dev_degC,12_dev_degC,13_dev_degC,14_dev_degC,15_dev_degC,16_dev_degC,17_dev_degC,18_dev_degC,19_dev_degC,all_dev_degC
ssp245,EC-Earth3-Veg,3.148786459150986,4.515753321077375,4.257762402539848,6.930845054755994,6.124223523089287,5.38464887333713,3.8802862978207147,10.478685377827532,4.13547729601909,11.349922639212641,5.240130784668946,3.724728557324224,4.738337349399549,4.36990290547511,4.857496129395718,4.061253995733199,3.410295722736481,3.0320177203378194,2.2533334787043087,3.2482536940285796,4.637574380904027
ssp245,FGOALS-f3-L,2.5903706673024147,3.6033731663080233,3.75160819121258,5.719868347255906,4.759094127879107,3.834510038956117,3.1278085098167963,5.9223011657631615,3.148217712452683,6.590933141125044,4.062125453583093,2.698247831052902,3.372434873346694,3.3952371935245567,3.4028505405984246,3.2326732865651566,3.0045682296587586,2.7831985741852208,2.631124512083926,2.759303251323672,3.5713238467448405
ssp245,GFDL-ESM4,2.4578123426934355,3.5639437555993054,3.274979714281071,5.084792767839895,4.44905081674924,3.0401325515555415,1.4863947865912763,3.9707273763917925,2.4860569405553408,5.534429352016597,3.7149331692107976,3.4078441505108117,3.30080347842123,3.2828234801604195,3.5774385954907815,2.9391155784165646,2.8446992935710056,2.1008853442243747,2.4325846871585157,2.106746497247221,3.210814722697046
ssp245,INM-CM4-8,2.22681809943152,3.2347873866257233,3.170529346757013,3.4748727740283414,3.265970188371264,3.0464290874225926,2.37528373918702,3.59170010123768,1.711612085857348,4.441077565061571,3.5860283356741776,2.668658803956501,3.1726276846687114,3.049201276222772,3.167985988859172,2.5478663635396,2.2217400854007905,1.988240490111636,1.9050795829136433,2.1771860715538254,2.892399708628747
ssp245,INM-CM5-0,2.3198309078154637,2.917005467635576,3.229261500083015,4.5121868154276825,4.124512723357941,3.793917788503694,3.211131588847303,6.034896056399063,3.5509632259326054,7.584016251231233,3.7817450496079177,3.1316428492067616,3.2268549703946747,2.9659009886334244,2.9305540498453952,2.6235024007425496,2.0834455047086236,1.9728718814725341,1.727295582932777,2.061380515064826,3.088619618337236
ssp245,MPI-ESM1-2-HR,2.428479957045525,2.857971230022906,2.6092040272004366,4.756258135918358,4.0460760504901945,3.6111374023157397,2.62699049523155,7.253017733641096,3.3817323428051536,6.8497963830218795,4.08518692279979,2.959285358267536,2.7003372467271616,3.1712270979823045,3.252444219320972,2.975758106498887,2.84471113462493,2.1955463190317346,2.2975084213514663,2.2599374965934373,3.2310079824800226
ssp245,MRI-ESM2-0,2.851173829011111,3.7152406758837344,3.648910157409614,6.679505943953589,5.769548942153304,4.640853890240157,3.044747390786685,8.365274527400695,2.5121077182301605,7.336209086846287,3.946649799027449,2.9749791482453363,3.537687930782641,3.3677230270834713,3.3805775144133974,3.1952086639497397,3.1062125624483885,2.533778904763872,2.678682181559992,3.3006380803580924,3.7556399838380683
ssp245,NorESM2-MM,2.4252995776244406,4.144219687785733,3.6492740498788665,4.777056273552889,4.889843626371092,2.8690830125886975,0.45724684273448873,4.029259059615484,2.1170887977873036,5.030237476585751,4.072867030516593,2.9424790125564213,3.495688068053687,3.5281898058829997,3.559651043846452,3.1846830806043274,2.9245887861168596,1.926558255646043,1.83483380146034,1.645250377148713,3.2987431686336466
ssp370,BCC-CSM2-MR,3.84337688941485,6.315936012987725,5.551933363621799,7.73140602483393,6.12172640083854,5.076790913671599,4.060600183752328,9.167476875951689,5.213512461059631,9.351389379255076,6.984166534015182,5.07588253371878,5.188379814625904,5.370478038052704,5.519437173300292,4.707524909342143,4.4317502446926085,3.460855465423356,3.3728139410122053,4.119202224024633,5.41793133173733
ssp370,CESM2,4.349500695129615,5.431984602094528,5.281605946329387,9.964581510717712,8.51385674530969,4.80046768649405,1.4345842614081419,7.24253946847823,3.3681056026656817,8.20027078060786,6.637801287073262,4.96928794306304,5.311216844123789,5.883604180957863,5.631653013306755,5.216455249699135,5.122923491755207,3.9661800615821137,4.1916309269078855,5.582767640869011,5.667194131085123
ssp370,CESM2-WACCM,4.265945380454579,5.758722319210688,5.7178763352712,9.131706513317033,7.927956298107856,5.093021155721144,2.3947423838172144,7.952467753936546,3.820400736579032,8.284280883958692,6.004869206004176,4.843474592716882,4.74399975661625,5.381175184480438,5.151947638909095,4.724751235286101,4.903248527353543,4.085671530948022,3.7290259750870804,5.739170726592701,5.519736176781924
ssp370,EC-Earth3,4.521482203621869,6.120218966795744,6.122217327431758,10.605676638641546,9.977509500182544,9.068841547877398,7.721681511727951,15.294263851233229,7.586786065423345,15.901835985880064,7.994471751295751,6.371895052101166,6.920565019029849,6.317380593420893,7.003442754475171,5.902434408383366,4.832078237619797,4.174677192870388,3.916444742974511,4.284786118331351,6.898407197542082
